Key,Description,Standard,Chinese,Japanese,TraditionalChinese,French,Korean,Basque,Italian,Spanish,Deutsch,Russian,Turkish,Brazilian,Polish
.\n,,,,,,,,,,,,,,,
SAY.Flowershop.LightWarriorChest FlowChart.289.Empty,,"\nwe had many debates on how to share this gift, this newfound miracle.\n","\n关于如何向人们解释我们的新发现,我们内部进行了许多辩论.\n",\n我々は議論を重ねた。この奇跡とも言える発見を、どのように共有すべきかと。\n,"\n關於如何向人們解釋我們的新發現,我們內部進行了許多辯論.\n",\nNous débattîmes à maintes reprises sur la méthode de partage de ce nouveau cadeau miraculeux.\n,\n우리는 새롭게 찾은 이 기적을 어떻게 나눌 것인지 많은 토론을 했지.,\nmilaka eztabaida izan genituen mirarizko opari honen banaketa adosteko.\n,"\navemmo molte discussioni su come adoperare questo dono, questo stupefacente miracolo.\n","\ntuvimos muchos debates sobre cómo compartir este regalo, este nuevo milagro.\n","\nhatten wir viele Diskussionen darüber, wie wir diese Gabe, dieses neuentdeckte Wunder, teilen können.\n","\nу нас было много споров о том, как поделиться этим даром, этим новообретённым чудом.\n",\nBize kendini göstermiş olan bu mucizevi hediyeyi nasıl paylaşabileceğimizle ilgili birçok tartışma yaptık.,"\ntivemos muitos debates sobre como compartilhar este presente, este milagre.\n","\nodbyliśmy wiele debat na temat tego, jak dzielić się tym darem, tym nowo odkrytym cudem.\n"
SAY.Flowershop.LightWarriorChest FlowChart.235.Empty,,"Should we open it for everyone, or should only a few be allowed to visit such a place?\n\n",我们究竟应该把它开放给所有人还是只允许少数人去探索这个地方?\n\n,皆に開放すべきか？それとも、ほんの限られた数の人間だけがそのような場所に行くべきなのか？\n\n,我們究竟應該把它開放給所有人還是只允許少數人去探索這個地方?\n\n,"Devions-nous l'offrir à tout le monde, ou bien en limiter l'accès au sommet de la hiérarchie ?\n\n","모두에게 공개해야 할까, 아니면 소수의 사람만 방문할 수 있도록 해야 할까? \n\n","Denontzat irekiko genukeen, ala batzuek soilik izango zuketen beste mundura heltzeko baimena?\n\n","Dovevamo mostrarlo a tutti, oppure permettere solo ad alcuni di visitare un posto del genere?\n\n","¿Debíamos abrirlo a todo el mundo, o solo permitir a unos pocos visitar tal lugar?\n\n","Sollten wir ihn für alle öffnen, oder sollten nur wenige einen solchen Ort besuchen dürfen?\n\n","Стоит ли открывать его для всех, или позволить лишь немногим посещать это место?\n\n",Herkese açmalı mıydık yoksa sadece belli bir kesime mi özel olmalıydı?\n\n,"Deveríamos abrir para todo mundo, ou só alguns teriam permissão de visitar tal lugar?\n\n","Czy powinniśmy otworzyć je dla wszystkich, czy tylko nielicznym pozwolić odwiedzać takie miejsce?\n\n"
SAY.Flowershop.LightWarriorChest FlowChart.232.Empty,,"We decided it had been far too long that we had kept this gift to ourselves. In the end, we determined we should allow everyone {w=1}to meet the entities.\n","经过漫长的争论,最终我们决定向所有人开放{w=1}前往不朽之地的入口.\n",最終的には、もう長すぎるぐらいに秘密にしてきたので、皆に共有すべきだという結論に至った。{w=1}「彼ら」と会う時が来たのだ。 \n,"經過漫長的爭論,最終我們決定向所有人開放{w=1}前往不朽之地的入口.\n","Nous décidâmes que la société se montra exclusive bien trop longtemps, et partageâmes ce cadeau auprès de tous. Tous furent autorisés à rencontrer ces {w=1}entités. \n","우리는 너무 오랫동안 배타적이었고, 결국 모두가 그 존재를 알 수 있도록 공유해야 한다고 결정했어.","Oparia bakarrik guretzako denbora gehiegiz gorde genuela erabaki genuen, eta azkenean edonork izango zuela baimena{w=1} entitateekin elkartzeko.\n",Decidemmo di smettere di nasconderlo al mondo e infine concordammo nel permettere a tutti {w=1}di incontrare le entità.\n,"Pensamos que ya nos habíamos guardado este regalo para nosotros por demasiado tiempo. Al final, decidimos permitir que todo el mundo {w=1}conociese a las entidades.\n","Wir entschieden, dass wir dieses Geschenk viel zu lange für uns behalten hatten. Letztendlich entschieden wir, dass wir jedem erlauben sollten,{w=1} die Entitäten zu treffen.\n","Мы решили, что слишком долго держали этот дар при себе. В итоге мы решили дать всем возможность {w=1}встретиться с сущностями.\n",Sonunda gerektiğinden uzun süredir özel tuttuğumuza ve herkese açmamız gerektiğine karar kıldık {w=1}varlıklarla tanışmaları için. \n,"Nós decidimos que tinha sido algo exclusivo por demasiado tempo. No fim, determinamos que seria permitido que todos {w=1}conheçam as entidades. \n","Uznaliśmy, że zbyt długo trzymaliśmy ten prezent dla siebie. W końcu zdecydowaliśmy, że powinniśmy pozwolić wszystkim {w=1}spotkać się z podmiotami.\n"
SAY.Flowershop.LightWarriorChest FlowChart.234.Empty,,"The masses were appalled. A great majority decided to become immortals while only a few would remain as mortals, such as the old, the sick, and unfortunate ones with reasons of their own.\n\n","所有见过不朽之地的人都被震惊了.他们中的绝大部分都留在了这里,只有少数人继续留在原来的社会里.\n\n这些人大部分是年老的,患病的以及不幸的人.",大衆は衝撃を受けた。大多数は不死となることを選び、終わりある命でいることを選んだ者はわずかだった。多くの場合、年老いた者、病に侵された者、不運な人生を送ってきた者がその選択をした。\n\n,"所有見過不朽之地的人都被震驚了.他們中的絕大部分都留在了這裏,只有少數人繼續留在原來的社會裏.\n\n這些人大部分是年老的,患病的以及不幸的人.","La foule fut consternée. Une grande majorité décida de devenir immortelle, et seulement peu voulurent rester mortels. Souvent les personnes âgées, malades ou démunies, pour leurs propres raisons.\n\n","사람들은 두려워했어. 대부분이 불멸의 존재가 되기로 결심했고, 소수의 사람들만이 그들만의 이유로 늙고, 아프고, 불행할 수 있는 인간으로 남았어.","Jendetza lur jota zegoen. Gehienek hilezin bilakatzea erabaki zuten; eta beste gutxik, hala nola gaixoak, adinekoak eta arrazoi pertsonalak zeuzkatenak hilkor izaten jarraituko zuten.\n\n","Le masse rimasero sbalordite. La stragrande maggioranza decise di diventare immortale, solo in pochi preferirono restare mortali, come i vecchi, i malati, e gli sfortunati che avevano le ragioni per rinunciare.\n\n","Las masas estaban sorprendidas. La gran mayoría decidió volverse inmortal, mientras que unos pocos permanecieron mortales, como los viejos, los enfermos y los desafortunados que tuviesen sus propias razones.\n\n","Die Massen waren begeistert. Die große Mehrheit entschied sich, unsterblich zu werden, während nur wenige Sterbliche blieben, wie die Alten, die Kranken und die Unglücklichen, die ihre eigenen Gründe hatten.\n\n","Общественность была потрясена. Подавляющее большинство решило стать бессмертными, в то время как некоторые остались смертными, такие, как старики, больные и несчастные со своими собтвенными причинами.\n\n","Herkes dehşete düşmüştü. Büyük bir çoğunluk ölümsüze dönüşmeye karar verdi ve sadece küçük bir kesim ölümlü olarak kaldı, yaşlılar, hastalar, ve kendince talihsiz nedenleri olanlar gibi.\n\n","As massas estavam chocadas. A grande maioria decidiu se tornar imortal enquanto apenas alguns permaneceriam mortais, como os velhos, os doentes, e os desafortunados com seus próprios motivos. \n\n","Masy były przerażone. Zdecydowana większość zdecydowała się zostać nieśmiertelnymi, podczas gdy tylko nieliczni pozostali śmiertelnikami, na przykład starzy, chorzy i nieszczęśliwi z własnych powodów.\n\n"
SAY.Flowershop.LightWarriorChest FlowChart.230.Empty,,Within this immortal realm it is as the universe has been condensed and you could befriend your parallel universal selfes and decide to go for a gigantic battle royale fist fight without even get harmed.\n\n,"在这不朽之地,宇宙好像被压缩了一样,你可以和平行宇宙的另一个自己做朋友,或者与人打的天昏地暗却不会受到任何伤害.\n\n",この不死の領域内では世界が凝縮されていたため、並行世界の自分自身たちと友人になり、ケガをすることなく大規模なバトルロイヤルに興じることさえ可能だったのだ。\n\n,"在這不朽之地,宇宙好像被壓縮了一樣,你可以和平行宇宙的另一個自己做朋友,或者與人打的天昏地暗卻不會受到任何傷害.\n\n","Dans cette réalité immortelle, l'univers y fût entièrement condensé, au point qu'il était possible de sympathiser avec ses propres formes alternatives comme de les combattre dans un gigantesque tournoi sans même se blesser.","이 불멸의 세계 안에서는, 우주가 응축된 것 같아 평행 세계의 자아와 친구가 될 수 있었고, 심지어 해를 입지 않고도 거대한 규모의 주먹 사투를 일으킬 수도 있었지.","Errealitate hilezkor honen barnean unibertso osoa trinkotu izan balitz bezalakoa da, eta beste unibertsoetan bizi diren «zu»ekin lagun izatea erabaki ondoren borroka erraldoi batean sartuko zinatekeen ezta minik ere sentitu gabe.\n\n","All'interno di questo regno immortale è come se l'universo fosse stato condensato e tu potessi incontrare i te stessi degli universali paralleli e decidere di fare una gigantesca battle royale a pugni con loro, senza nemmeno farvi male.\n\n",En este reino inmortal es como si el universo se hubiese condensado y pudieses ser amigo de tus versiones de universos paralelos con los que tener batallas de puñetazos a gran escala sin hacerte daño alguno.\n\n,,"В этом бессмертном мире вселенная словно сжалась, и в ней можно встретиться со своими двойниками из параллельных вселенных и устроить грандиозный кулачный бой, даже не пострадав.\n\n","Bu ölümsüz aleme tüm evren sıkıştırılmıştı sanki, paralel evrenlerdeki hallerinle arkadaş olup yumruk yumruğa dövüşebiliyordun ve kimsenin canı bile acımıyordu.\n\n","Dentro deste reino imortal, é como se o universo fosse condensado, e você pudesse ser amigo de suas personalidades de universos paralelos, e decidisse entrar numa pancadaria gigantesca sem sequer se ferir. \n\n","W tym nieśmiertelnym królestwie wszechświat został skondensowany i możesz zaprzyjaźnić się ze swoimi równoległymi uniwersalnymi jaźniami i zdecydować się na gigantyczną królewską bitwę na pięści, nawet nie doznając krzywdy.\n\n"
SAY.Flowershop.LightWarriorChest FlowChart.236.Empty,,"\n\nYou could experience the most euphoric moments of your life, then completely forget they had ever happened. Over and over again.","你可能会在这个过程中不断经历这一生中最令人陶醉难忘的时刻,但随后你可能就会忘记这些事情,周而复始,永无止境.",人生において最も幸福な気持ちを経験したかと思えば、その後にはすぐさまその経験を忘れ、またその経験へと身を投じることができた。,"你可能會在這個過程中不斷經歷這一生中最令人陶醉難忘的時刻,但隨後你可能就會忘記這些事情,周而復始,永無止境.","Tu pouvais expérimenter les sentiments les plus euphoriques de ta vie, puis instantanément oublier tout ton vécu, avant de recommencer encore et encore.","\n\n인생에서 가장 큰 기쁨의 순간을 즐기고, 그것이 일어났다는 사실을 전부 다 잊어버리는 과정을 반복하는 거지. 계속 또 계속.","\n\nZure bizitzako momenturik alaienak berriz bizi ahalko zenituzke, ondoren inoiz pasa ez balira bezala bat-batean ahazten; behin eta berriz.","\n\nPotevi vivere i momenti più euforici della tua esistenza, per poi dimenticare completamente che fossero accaduti. All'infinito.","\n\nPodías experimentar los más eufóricos momentos de tu vida, y después olvidar por completo que habían ocurrido. Una y otra vez.","\n\nMan könnte die euphorischsten Momente seines Lebens erleben und dann völlig vergessen, dass sie je passiert sind. Immer und immer wieder.","\n\nМожно было испытать самые радостные моменты в своей жизни, а затем вовсе забыть о них. Снова и снова.","\n\nHayatının en öforik anlarını deneyimleyip, ardından tamamen unutabiliyordun. Tekrar ve tekrar.","\nVocê poderia vivenciar os momentos mais eufóricos da sua vida, e então esquecer completamente que eles sequer aconteceram. Muitas e muitas vezes.","\n\nMożesz przeżyć najbardziej euforyczne chwile swojego życia, a potem całkowicie zapomnieć, że kiedykolwiek się wydarzyły. W kółko."
SAY.Flowershop.LightWarriorChest FlowChart.237.Empty,,\n\nI still have fond memories of using the earthquake machine during my dance-off battles with Pink Mage. They were one of a kind and I truly miss them.\n\n,"\n\n直到现在我都还记得在与橙色法师的跳舞对决中率先使用""特斯拉的地震机器""的细节,这是我众多难忘时刻中的一个,我真的很想念它们.\n\n",\n\nピンクの魔法使いとダンスで勝負したとき、地震発生機を使ったことは未だに懐かしく思い出す。あれは他では絶対に経験できないことだし、本当に恋しく思っている。\n\n,"\n\n直到現在我都還記得在與橙色法師的跳舞對決中率先使用""特斯拉的地震機器""的細節,這是我眾多難忘時刻中的一個,我真的很想念它們.\n\n",\n\nJe me souviens encore avoir naïvement utilisé la machine à séismes lors de combats de danse avec Mage Rose. Ce fut une personne unique et il me manque vraiment.\n\n,\n\n핑크 마법사와 댄스 배틀을 할 때 인공 지진 생성기를 사용했던 기억이 아직도 생생해. 참 그리운 순간 중 하나지.\n\n,\n\nOraindik pozik oroitzen naiz lurrikarak sortzeko makinaz Aztiarrosarekin neuzkan dantza-borroketan. Benetan apartekoak ziren eta orain haien falta sumatzen dut.\n\n,"\n\nHo ancora a cuore i cari ricordi delle mie sfide di ballo con Maga Rosa, in cui usavo la mia macchina dei terremoti. Era unica nel suo genere e ne sento genuinamente la mancanza. ",\n\nTodavía tengo buenos recuerdos de cuando usé la máquina de terremotos en mis duelos de baile con la maga Rosa. Era única en su especie y la echo mucho de menos.\n\n,"\n\nIch habe noch schöne Erinnerungen daran, dass ich die Erdbebenmaschine während meiner Dance-Off-Kämpfe mit Pinker Magierin benutzt habe. Es war einzigartig und ich vermisse sie wahrlich.\n\n",\n\nУ меня до сих пор остались приятные воспоминания об использовании машины землетрясений во время моих танцевальных боев с Розовым Магом. Это были уникальные моменты и я очень скучаю по ним.\n\n,"\n\nArada hala Pembe Büyücü'yle dans savaşlarımızda nasıl deprem makinesini kullandığımızı sevinçle hatırlarım. Biricikti, onu gerçekten özlüyorum.\n\n",\nAinda tenho boas lembranças de usar a máquina de terremoto durante minhas batalhas de dança com o Mago Rosa. Foram únicas e eu realmente sinto falta delas.\n\n,\n\nNadal mam miłe wspomnienia z używania maszyny do trzęsienia ziemi podczas moich tanecznych bitew z Różowym Magiem. Byli jedyni w swoim rodzaju i naprawdę za nimi tęsknię.\n\n
SAY.Flowershop.LightWarriorChest FlowChart.251.Empty,,//Brown Mage,//棕色法师,// 茶色の魔法使いより,//棕色法師,,//브라운 마법사,// Aztimarroia,//Mago Marrone,//Mago Marrón,// Brauner Magier,//Коричневый маг,//Kahverengi Büyücü,//Mago Marrom,//Brązowy Mag
SAY.Flowershop.LightWarriorChest FlowChart.242.Empty,,Something powerful seems to resonate with the {color=#ffa200}Golden Key{/color}.,某些强大的力量似乎与{color=#ffa200}金钥匙{/color}产生了共鸣,何か強い力を持つものが、{color=#ffa200}黄金の鍵{/color}と共鳴しているようだ。,某些強大的力量似乎與{color=#ffa200}金鑰匙{/color}產生了共鳴,Quelque chose de puissant résonne avec la {color=#ffa200}clé dorée{/color}.,무언가 강력한 기운이 {color=#ffa200}황금 열쇠{/color}에 스며드는 것 같다.,Zerbait boteretsua ari da {color=#ffa200}urrezko giltza{/color}ri erantzuten.,Qualcosa di potente sembra risuonare con la {color=#ffa200}chiave dorata{/color},Una fuerza extraña parece resonar con la {color=#ffa200}llave dorada{/color}.,Etwas Mächtiges scheint mit dem {color=#ffa200}Goldenen Schlüssel{/color} zu resonieren.,Что-то мощное резонирует с {color=#ffa200}Золотым ключом{/color}.,Güç dolu bir şey {color=#ffa200}altın anahtar{/color} ile rezonans yapyor.,Algo poderoso parece ressoar com a {color=#ffa200}Chave Dourada{/color}.,Coś potężnego zdaje się rezonować ze {color=#ffa200}Złotym Kluczem{/color}.
SAY.Flowershop.LightWarriorChest FlowChart.243.Empty,,Are you sure?,你确定吗?,本当によろしいですか？,你確定嗎?,Êtes-vous certain ?,정말 하시겠습니까?,Ziur al zaude?,Sei sicuro?,¿Estás seguro?,Bist du sicher?,Вы уверены?,Emin misin?,Você tem certeza?,Czy jesteś pewny?
MENU.Flowershop.LightWarriorChest FlowChart.240,,Yes,是,はい,是,Oui,예,Bai,Sì,Sí,Ja,Да,Evet,Sim,Tak
MENU.Flowershop.LightWarriorChest FlowChart.241,,No,否,いいえ,否,Non,아니오,Ez,No,No,Nein,Нет,Hayır,Não,Nie
SAY.Flowershop.Barbeque Flowchart.83.Empty,,These flowers smell like barbeque.,这些花闻起来像烤肉,この花はバーベキューみたいなニオイがする。,這些花聞起來像烤肉,Ces fleurs sentent comme un barbecue.,이 꽃은 바베큐 냄새가 난다.,Lore hauek barbakoa usaina dute.,Questi fiori odorano di barbeque.,Estas flores huelen a barbacoa.,Diese Blumen riechen nach Gegrilltem.,Эти цветы пахнут шашлыком.,Bu çiçekler barbekü gibi kokuyor.,Essas flores cheiram a churrasco.,Te kwiaty pachną jak grill.
SAY.Flowershop.Paper Flowchart.83.Empty,,These flowers smell like paper.,这些花有纸的味道,この花は紙みたいなニオイがする。,這些花有紙的味道,Ces fleurs sentent comme du papier.,이 꽃은 종이 냄새가 난다.,Lore hauek papera bezala usaintzen dute.,Questi fiori odorano di carta.,Estas flores huelen a papel.,Diese Blumen riechen nach Papier.,Эти цветы пахнут бумагой.,Bu çiçekler parşömen gibi kokuyor.,Essas flores cheiram de papel.,Te kwiaty pachną jak papier.
SAY.Treasury.Flowchart.145.Frog,,...Only you have the power to kill.,...只有你才有杀戮的力量.,…殺す力を持っているのは君だけだ。,...只有你才有殺戮的力量.,...Toi seul est capable de tuer.,...오직 자네만이 죽일 힘을 가지고 있다네.,...Zuk soilik duzu hiltzeko gaitasuna.,...Solo tu hai il potere di uccidere.,... Solo tú tienes el poder de matar.,"...Nur du hast die Macht, zu töten.",...Лишь у тебя есть сила убивать.,…Sadece sende öldürme gücü var.,... Só você possui o poder para matar.,...Tylko ty masz moc zabijania.
SAY.Treasury.Flowchart.148.Frog,,You are their only salvation,你是他们唯一的救赎,不死という枷から解放して,你是他們唯一的救贖,Tu es leur unique salut,자네가 그들의 유일한 구원이야.,"Zeu zara haien salbamen bakarra,",Sei la loro unica salvezza,"Eres su única salvación,","Du bist ihre einzige Rettung,","Ты - их единственное спасение,",Tek kurtuluş yolları sensin,Você é a única salvação,Jesteś ich jedynym wybawieniem
SAY.Treasury.Flowchart.146.Frog,,to free them from the shackles of immortality.,使他们摆脱永生的枷锁.,彼らを救えるのは君だけなんだ。,使他們擺脫永生的枷鎖.,pour les libérer des chaînes de l'immortalité.,그들을 불멸이라는 족쇄에서 풀어줄 힘을 가졌다네.,hilezintasuneko madarikaziotik aska ditzakezuna.,l'unico che può liberarli dalle catene dell'immortalità.,su única liberación de los grilletes de la inmortalidad.,die sie von den Fesseln der Unsterblichkeit befreien kann.,способное освободить их от оков бессмертия.,ölümsüzlüğün zincirlerinden özgür kalmaları için.,para libertá-los das algemas da imortalidade.,które może wyzwolić ich z więzów nieśmiertelności.
SAY.Treasury.Flowchart.149.Frog,,Please...,求求你,迷ったときには,求求你,S'il te plaît,제발.,Mesedez...,Per favore...,Por favor...,Bitte...,Прошу...,Lütfen,Por favor...,Proszę...
SAY.Treasury.Flowchart.147.Frog,,seek out the {color=#f2f2f2}spirits{/color} if you are in doubt.,"如果你有疑问,就去找{color=#f2f2f2}灵魂们{/color}.",迷ったなら、{color=#f2f2f2}霊魂{/color}を探すんだ。,"如果你有疑問,就去找{color=#f2f2f2}靈魂們{/color}.",cherche les {color=#f2f2f2}esprits{/color} si tu as des doutes.,의심된다면 {color=#f2f2f2}영혼들{/color}을 찾아보게나.,zalantzan bazaude {color=#f2f2f2}espiritu{/color}engana jo ezazu.,consulta gli {color=#f2f2f2}spiriti{/color} se sei in dubbio.,busca a los {color=#f2f2f2}espíritus{/color} cuando dudes.,"suche die {color=#f2f2f2}Geister{/color} auf, wenn du zweifelst.","ищи {color=#f2f2f2}духов{/color}, если возникнут сомнения.",Eğer şüpheye kapılırsan {color=#f2f2f2}ruhlara{/color} danış.,procure os {color=#f2f2f2}espíritos{/color} se você estiver indeciso.,szukaj {color=#f2f2f2}dusz{/color} jeśli się zagubisz.
SAY.Treasury.Flowchart.32.Frog,,"You did well, Red.","你做得很好,红色",よくやったな、レッド。,"你做得很好,紅色","Beau travail, Rouge.","잘해줬다네, 레드.","Ongi egin duzu, Gorri.","Ottimo lavoro, Rosso.","Lo has hecho bien, Rojo.","Gut gemacht, Rot.","Ты хорошо справился, Красный.","İyi iş çıkardın, Kırmızı.","Você fez bem, Vermelho.","Dobrze się spisałeś, Czerwony."
SAY.Treasury.Flowchart.131.Frog,,"It will be a challenging mission, but you do not stand alone.","这将是一项艰巨的任务,但你并不孤单",大変な務めになるだろう。だが君は独りじゃない。,"這將是一項艱巨的任務,但你並不孤單","Ce sera une mission difficile, mais tu n'es pas seul.","분명 어려운 임무일테지만, 자네는 혼자가 아니라네.","Zure zeregina gogorra izango da, baina ez zaude zu bakarrik.","Sarà una missione impegnativa, ma non sarai solo.","Será una misión desafiante, pero no estás solo.","Es wird eine herausfordernde Mission sein, aber du bist nicht allein.","Это будет непростая задача, но ты не одинок.","Zor bir görev seni bekliyor, ama yalnız değilsin.","Vai ser uma missão difícil, mas você não está sozinho.","To będzie trudna misja, ale nie jesteś sam."
SAY.Treasury.Flowchart.132.Frog,,You are the key. Our champion,"你是所有问题的关键,我们的英雄",君は英雄であり、鍵なんだ。,"你是所有問題的關鍵,我們的英雄","Tu es la clé, notre champion",네가 바로 열쇠야. 우리들의 영웅.,"Zu giltza zara, gure txapelduna,","Sei la nostra chiave. Il nostro campione,","Tú eres la clave. Nuestro campeón,","Du bist der Schlüssel. Unser Champion,","Ты - ключ к разгадке. Наш чемпион,","Sen anahtarsın, şampiyonumuzsun",Você é o nosso campeão. A chave,Jesteś kluczem. Nasz mistrzu
SAY.Treasury.Flowchart.133.Frog,,to free us from the shackles of immortality.,使我们摆脱永生的枷锁,不死という枷から逃れるためのね。,使我們擺脫永生的枷鎖,pour nous libérer des chaînes de l'immortalité.,우리를 불멸이라는 족쇄에서 풀어줄 힘을 가졌다네.,hilezintasuneko madarikaziotik aska gaitzakezuna.,l'unico che può liberarci dalle catene dell'immortalità.,el que nos liberará de las cadenas de la inmortalidad.,der uns von den Fesseln der Unsterblichkeit befreit.,который освободит нас от оков бессмертия.,bizi ölümsüzlüğün zincirlerinden koparacak kişisin.,para nos libertar das algemas da imortalidade.,które może wyzwolić nas z więzów nieśmiertelności.
SAY.Treasury.Flowchart.134.Frog,,Seek out the {color=#f2f2f2}spirits{/color} if you are in doubt.,"如果你有疑问,就去找{color=#f2f2f2}灵魂们{/color}.",迷ったなら、{color=#f2f2f2}霊魂{/color}を探すんだ。,"如果你有疑問,就去找{color=#f2f2f2}靈魂們{/color}.",Cherche les {color=#f2f2f2}esprits{/color} si tu as des doutes.,의심된다면 {color=#f2f2f2}영혼들{/color}을 찾아보게.,Zalantzan bazaude {color=#f2f2f2}espiritu{/color}engana jo ezazu.,Consulta gli {color=#f2f2f2}spiriti{/color} se sei in dubbio.,Busca a los {color=#f2f2f2}espíritus{/color} cuando dudes.,"Suche die {color=#f2f2f2}Geister{/color} auf, wenn du zweifelst.","ищи {color=#f2f2f2}духов{/color}, если возникнут сомнения.",Eğer şüpheye düşersen {color=#f2f2f2}ruhlara{/color} danış.,Procure os {color=#f2f2f2}espíritos{/color} se você estiver indeciso.,Szukaj {color=#f2f2f2}dusz{/color} jeśli się zagubisz.
SAY.LastTempleFirstFloor.PurpleMageFlowChart.193.Purple Mage,,You're just prancing around in the same spot.,你只是一直在原地徘徊,お前はただ同じ場所で飛び跳ねているだけじゃないか。,你只是一直在原地徘徊,Tu ne cesseras jamais de faire le pitre.,그저 같은 장소에서 뛰어다니는군요.,Harroputz bat baino ez zara.,Non fai altro che saltellare in tondo.,No paras de dar vueltas en círculos.,Du tanzt nur an derselben Stelle herum.,Ты просто топчешься на месте.,Aynı noktada dönüp durmak falan.,Você só está circulando no mesmo lugar.,Biegasz tylko w kółko w tym jednym miejscu.
SAY.LastTempleFirstFloor.PurpleMageFlowChart.196.Purple Mage,,I am surprised you even got this far.,我都没想到你能走到今天,ここまで辿り着けたことさえ驚きだよ。,我都沒想到你能走到今天,Je suis même surpris que tu sois parvenu ici.,여기까지 오신 것도 놀랍습니다.,Hona arte heltzeko gai izan zara benetan.,Mi sorprende che tu sia arrivato fino a qui.,Me sorprende que hayas llegado tan lejos.,"Ich bin überrascht, dass du es überhaupt so weit geschafft hast.","Я удивлена, что ты зашёл так далеко.",Buraya kadar gelebilmene bile şaşırdım.,É surpreendente que você tenha chegado tão longe.,"Nie spodziewałam się w ogóle, że zajdziesz tak daleko."
SAY.LastTempleFirstFloor.PurpleMageFlowChart.195.Purple Mage,,The dead may not be able to stop you.,死去的人已经没法再阻止你,死者にはお前を止めることができないみたいだな。,死去的人已經沒法再阻止你,La mort elle-même ne pourrait t'arrêter.,죽은 자들은 당신을 막기엔 역부족이었나 보군요.,Hildakoek ezin zaituzte gelditu.,I morti non sembrano in grado di fermarti.,Puede que los muertos no sean capaces de pararte.,Die Toten können dich vielleicht nicht aufhalten.,"Видимо, мёртвые не смогут остановить тебя.",Ölüler seni durduramıyor olabilir.,Os mortos podem não conseguir te parar.,Martwi nie są w stanie cię powstrzymać.
SAY.LastTempleFirstFloor.PurpleMageFlowChart.198.Purple Mage,,The living seem unable to as well.,而活着的人似乎也对此无能为力,生者でも無理だったようだ。,而活着的人似乎也對此無能為力,La vie en semble incapable également.,산 자들도 차이는 없는 것 같지만요.,"Ezta bizi direnek ere, dirudienez.",E a quanto pare neppure i vivi.,Y los vivos parece que tampoco.,Auch die Lebenden scheinen dazu nicht in der Lage.,"Живые, похоже, тоже.",Diriler de pek bir şey yapamadı.,Os vivos não parecem capazes disso também.,Żywym też zdaje się nie udawać.
SAY.LastTempleFirstFloor.PurpleMageFlowChart.199.Purple Mage,,...,...,…,...,...,...,...,...,...,...,...,…,...,...
SAY.LastTempleFirstFloor.PurpleMageFlowChart.200.Purple Mage,,But I will not let you continue.,但我不会放任你继续下去了,だがお前を放っておくわけにはいかない。,但我不會放任你繼續下去了,Mais je ne te laisserai pas continuer.,하지만 당신이 계속하게 둘 수는 없습니다.,Baina ezin dizut jarraitzen utzi.,Ma non ti permetterò di continuare.,Pero no te dejaré seguir.,"Aber ich lasse nicht zu, dass du weitermachst.",Но я не дам тебе продолжить.,Ama ben devam etmene izin vermeyeceğim.,Mas eu não deixarei que continue.,Ale nie mogę pozwolić ci iść dalej.
SAY.LastTempleFirstFloor.PurpleMageFlowChart.203.Purple Mage,,I will end your journey.,我会结束你的旅程,お前の旅を終わらせる。,我會結束你的旅程,Je vais mettre fin à ton aventure.,제가 당신의 모험을 끝내겠습니다.,Zure bidaia hemen amaituko dut.,Porrò fine al tuo viaggio.,Acabaré con tu aventura.,Ich beende deine Reise.,Я положу конец твоему пути.,Yolculuğun sona erecek.,Vou acabar com a sua jornada.,Skończę twoją przygodę.
SAY.LastTempleFirstFloor.PurpleMageFlowChart.168.Purple Mage,,Impressive.,令人敬佩,素晴らしい。,令人敬佩,Impressionnant.,놀랍군요.,Harrigarria.,Impressionante.,Impresionante.,Beeindruckend.,Впечатляюще.,Etkileyici.,Impressionante.,Imponujące.
SAY.LastTempleFirstFloor.PurpleMageFlowChart.171.Purple Mage,,I won't be able to stop you.,我无法阻止你,私にお前は止められない。,我無法阻止你,Je suis incapable de t'arrêter.,당신을 멈출 수는 없을 것 같네요.,Ezingo zaitut gelditu.,Non sarò in grado di fermarti.,No seré capaz de pararte.,Ich kann dich nicht aufhalten.,Я не смогу остановить тебя.,Seni durdurmaya gücüm yetmiyor.,Eu não serei capaz de te deter.,Nie będę w stanie cię powstrzymać.
SAY.LastTempleFirstFloor.PurpleMageFlowChart.172.Purple Mage,,Understand that I did what I had to do.,我做了我能做的,私は必要なことをしたのだということを、理解してほしい。,我做了我能做的,Sache que je n'ai fait que mon devoir.,제가 해야 할 일을 했다는 걸 알아주세요.,Uler ezazu egin behar nuena egin dudala.,Sappi che ho fatto solo ciò che dovevo.,Comprende que hice lo que debía.,"Verstehe, dass ich getan habe, was getan werden musste.","Пойми, я сделала то, что должна была.",Umarım bunu niye yaptığımı anlarsın.,Entenda que eu fiz o que eu precisava.,"Zrozum, że robię, co muszę."
